id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_latitude_1,ocean_longitude_1,ocean_lat1,ocean_lon1
AK509,Four Mile Road,,Alaska,US,64.6018,-149.1306,"ardac,eds,ncr",345.4,False,61.1979,-149.7522,61.1229,-149.8148
AK131,Fox,,Alaska,US,64.958,-147.618,"ardac,eds,ncr",394.4,False,61.1356,-149.7991,61.103,-147.1891
AK510,Fox River,,Alaska,US,59.8164,-151.0895,"ardac,eds,ncr",2.5,True,59.7092,-151.1945,60.0608,-151.542
AK471,Fox River Flats Critical Habitat Area,,Alaska,US,59.7935,-150.925,"ardac,eds,ncr",4.1,True,59.6931,-151.3437,59.5388,-150.772
AK511,Fritz Creek,,Alaska,US,59.6915,-151.3746,"ardac,eds,ncr",1.9,True,59.7412,-151.4664,59.6055,-151.5268
AK512,Funny River,,Alaska,US,60.5021,-150.7939,"ardac,eds,ncr",26.7,True,60.7093,-150.8719,60.5856,-151.2675
AK451,Funter Bay State Marine Park,,Alaska,US,58.2505,-134.9227,"ardac,eds,ncr",1.0,True,58.159,-135.0693,58.1858,-135.1044
AK132,Gakona,Ggax Kuna’,Alaska,US,62.3019,-145.302,"ardac,eds,ncr",141.0,False,60.8324,-146.4548,60.9941,-146.8265
AK133,Galena,Notaalee Denh,Alaska,US,64.7333,-156.927,"ardac,eds,ncr",183.9,False,64.6468,-161.0935,64.681,-160.9
AK134,Gambell,Sivuqaq,Alaska,US,63.7797,-171.741,"ardac,eds",0.5,True,63.8132,-171.8749,63.8309,-171.9454
