id,name,alt_name,region,country,latitude,longitude
FI295,Vammala,,Pirkanmaa,FI,61.3403,22.9097
FI296,Vesilahti,,Pirkanmaa,FI,61.3167,23.6167
FI297,Viiala,,Pirkanmaa,FI,61.2102,23.7674
FI298,Viljakkala,,Pirkanmaa,FI,61.7060,23.2669
FI299,Vilppula,,Pirkanmaa,FI,62.0212,24.5048
FI300,Virrat,,Pirkanmaa,FI,62.2403,23.7708
FI301,Vuores,,Pirkanmaa,FI,61.4310,23.8118
FI302,Ylöjärvi,,Pirkanmaa,FI,61.5500,23.5833
FI303,Eura,,Satakunta,FI,61.1333,22.1333
FI304,Eurajoki,,Satakunta,FI,61.2000,21.7333
FI305,Harjavalta,,Satakunta,FI,61.3167,22.1333
FI306,Huittinen,,Satakunta,FI,61.1833,22.7000
FI307,Jämijärvi,,Satakunta,FI,61.8167,22.7000
FI308,Kankaanpää,,Satakunta,FI,61.8000,22.4167
FI309,Karvia,,Satakunta,FI,62.1333,22.5667
FI310,Kiukainen,,Satakunta,FI,61.2167,22.0833
FI311,Kokemäki,,Satakunta,FI,61.2565,22.3564
FI312,Köyliö,,Satakunta,FI,61.1191,22.3098
FI313,Kullaa,,Satakunta,FI,61.4700,22.1615
FI314,Längelmäki,,Satakunta,FI,61.6500,22.1000
FI315,Lappi,,Satakunta,FI,61.1000,21.8333
FI316,Lavia,,Satakunta,FI,61.6000,22.6000
FI317,Luvia,,Satakunta,FI,61.3638,21.6256
FI318,Merikarvia,,Satakunta,FI,61.8584,21.5004
FI319,Nakkila,,Satakunta,FI,61.3667,22.0000
FI320,Noormarkku,,Satakunta,FI,61.5927,21.8685
FI321,Pomarkku,,Satakunta,FI,61.6935,22.0086
FI322,Pori,,Satakunta,FI,61.4833,21.7833
FI323,Rauma,,Satakunta,FI,61.1272,21.5113
FI324,Säkylä,,Satakunta,FI,61.0333,22.3333
FI325,Siikainen,,Satakunta,FI,61.8770,21.8195
FI326,Ulvila,,Satakunta,FI,61.4284,21.8710
FI327,Vampula,,Satakunta,FI,61.0167,22.7000
FI328,Imatra,,South Karelia,FI,61.1719,28.7524
FI329,Joutseno,,South Karelia,FI,61.1180,28.5076
FI330,Lappeenranta,,South Karelia,FI,61.0587,28.1887
FI331,Lemi,,South Karelia,FI,61.0624,27.8057
FI332,Luumäki,,South Karelia,FI,60.9262,27.5814
FI333,Nuijamaa,,South Karelia,FI,60.9601,28.5510
FI334,Parikkala,,South Karelia,FI,61.5500,29.5000
FI335,Rautjärvi,,South Karelia,FI,61.4333,29.3500
FI336,Ruokolahti,,South Karelia,FI,61.2833,28.8333
FI337,Saari,,South Karelia,FI,61.6500,29.7500
FI338,Savitaipale,,South Karelia,FI,61.2000,27.7000
FI339,Taipalsaari,,South Karelia,FI,61.1500,28.0500
FI340,Ylämaa,,South Karelia,FI,60.8000,28.0000
FI341,Ähtäri,,Southern Ostrobothnia,FI,62.5540,24.0619
FI342,Alahärmä,,Southern Ostrobothnia,FI,63.2333,22.8500
FI343,Alajärvi,,Southern Ostrobothnia,FI,63.0000,23.8167
FI344,Alavus,,Southern Ostrobothnia,FI,62.5833,23.6167
FI345,Evijärvi,,Southern Ostrobothnia,FI,63.3667,23.4833
FI346,Ilmajoki,,Southern Ostrobothnia,FI,62.7333,22.5667
FI347,Isojoki,,Southern Ostrobothnia,FI,62.1132,21.9588
FI348,Jalasjärvi,,Southern Ostrobothnia,FI,62.5000,22.7500
FI349,Jurva,,Southern Ostrobothnia,FI,62.6833,21.9833
FI350,Karijoki,,Southern Ostrobothnia,FI,62.3085,21.7086
FI351,Kauhajoki,,Southern Ostrobothnia,FI,62.4333,22.1833
FI352,Kauhava,,Southern Ostrobothnia,FI,63.1030,23.0713
FI353,Kortesjärvi,,Southern Ostrobothnia,FI,63.3000,23.1667
FI354,Kuortane,,Southern Ostrobothnia,FI,62.8000,23.5000
FI355,Kurikka,,Southern Ostrobothnia,FI,62.6167,22.4167
FI356,Lappajärvi,,Southern Ostrobothnia,FI,63.2000,23.6333
FI357,Lapua,,Southern Ostrobothnia,FI,62.9693,23.0088
FI358,Lehtimäki,,Southern Ostrobothnia,FI,62.7833,23.9167
FI359,Nurmo,,Southern Ostrobothnia,FI,62.8287,22.9099
FI360,Seinäjoki,,Southern Ostrobothnia,FI,62.7945,22.8282
FI361,Soini,,Southern Ostrobothnia,FI,62.8667,24.2167
FI362,Teuva,,Southern Ostrobothnia,FI,62.4819,21.7416
FI363,Töysä,,Southern Ostrobothnia,FI,62.6280,23.8183
FI364,Vimpeli,,Southern Ostrobothnia,FI,63.1619,23.8192
FI365,Ylihärmä,,Southern Ostrobothnia,FI,63.1500,22.7833
FI366,Ylistaro,,Southern Ostrobothnia,FI,62.9396,22.5131
FI367,Enonkoski,,South Savo,FI,62.0833,28.9333
FI368,Haukivuori,,South Savo,FI,62.0175,27.2191
FI369,Heinävesi,,South Savo,FI,62.4333,28.6000
FI370,Hirvensalmi,,South Savo,FI,61.6333,26.8000
FI371,Jäppilä,,South Savo,FI,62.3790,27.4337
FI372,Joroinen,,South Savo,FI,62.1782,27.8317
FI373,Juva,,South Savo,FI,61.9000,27.8500
FI374,Kangasniemi,,South Savo,FI,61.9936,26.6479
FI375,Kerimäki,,South Savo,FI,61.9107,29.2823
FI376,Mäntyharju,,South Savo,FI,61.4167,26.8833
FI377,Mikkeli,,South Savo,FI,61.6886,27.2723
FI378,Pertunmaa,,South Savo,FI,61.5000,26.4833
FI379,Pieksämäki,,South Savo,FI,62.3000,27.1333
FI380,Punkaharju,,South Savo,FI,61.7588,29.3884
FI381,Puumala,,South Savo,FI,61.5273,28.1750
FI382,Rantasalmi,,South Savo,FI,62.0667,28.3000
FI383,Ristiina,,South Savo,FI,61.5058,27.2464
